dr_no,date_rptd,date_occ,time_occ,area_name,crime_category,crm_cd,crm_cd_desc,vict_age,vict_sex,vict_descent,premis_desc,location,cross_street,lat,lon
10304468,2020-01-08,2020-01-08,2230,Southwest,Simple Assault,624,BATTERY - SIMPLE ASSAULT,36,F,B,SINGLE FAMILY DWELLING,1100 W  39TH                         PL,,34.0141,-118.2978
190101086,2020-01-02,2020-01-01,330,Central,Simple Assault,624,BATTERY - SIMPLE ASSAULT,25,M,H,SIDEWALK,700 S  HILL                         ST,,34.0459,-118.2545
200110444,2020-04-14,2020-02-13,1200,Central,Other,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0,X,X,POLICE FACILITY,200 E  6TH                          ST,,34.0448,-118.2474
191501505,2020-01-01,2020-01-01,1730,N Hollywood,Other,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),76,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",5400    CORTEEN                      PL,,34.1685,-118.4019
191921269,2020-01-01,2020-01-01,415,Mission,Other,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,X,X,BEAUTY SUPPLY STORE,14400    TITUS                        ST,,34.2198,-118.4468
200100501,2020-01-02,2020-01-01,30,Central,Rape,121,"RAPE, FORCIBLE",25,F,H,NIGHT CLUB (OPEN EVENINGS ONLY),700 S  BROADWAY,,34.0452,-118.2534
200100502,2020-01-02,2020-01-02,1315,Central,Other Theft,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,H,DEPARTMENT STORE,700 S  FIGUEROA                     ST,,34.0483,-118.2631
200100504,2020-01-04,2020-01-04,40,Central,Other,946,OTHER MISCELLANEOUS CRIME,0,X,X,POLICE FACILITY,200 E  6TH                          ST,,34.0448,-118.2474
200100507,2020-01-04,2020-01-04,200,Central,Other Theft,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",700    BERNARD                      ST,,34.0677,-118.2398
201710201,2020-06-19,2020-05-26,1925,Devonshire,Other Theft,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,OTHER BUSINESS,11900    BALBOA                       BL,,34.2864,-118.5021
200100509,2020-01-04,2020-01-04,2200,Central,Burglary/Theft from Vehicle,330,BURGLARY FROM VEHICLE,29,M,A,STREET,15TH,OLIVE,34.0359,-118.2648
200100510,2020-01-05,2020-01-05,955,Central,Domestic Violence,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,O,PARKING LOT,800 N  ALAMEDA                      ST,,34.0615,-118.2412
200100514,2020-01-05,2020-01-05,1355,Central,Other Theft,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,M,A,HOTEL,800 S  OLIVE                        ST,,34.0452,-118.2569
200100515,2020-01-07,2020-01-07,1638,Central,Other,648,ARSON,0,X,X,DEPARTMENT STORE,700 W  7TH                          ST,,34.048,-118.2577
200100520,2020-01-08,2020-01-08,1805,Central,Other Theft,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,F,H,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",100 S  LOS ANGELES                  ST,,34.0515,-118.2424
211916029,2021-11-26,2020-11-30,730,Mission,Domestic Violence,626,INTIMATE PARTNER - SIMPLE ASSAULT,24,F,H,SINGLE FAMILY DWELLING,14200    BERG                         ST,,34.3055,-118.4439
201116159,2020-11-29,2020-11-28,2018,Northeast,Domestic Violence,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,H,SINGLE FAMILY DWELLING,3200 W  AVENUE 32,,34.1186,-118.245
200506268,2020-02-22,2020-02-22,1900,Harbor,Other Theft,440,THEFT PLAIN - PETTY ($950 & UNDER),29,F,W,SIDEWALK,PACIFIC COAST,VERMONT,33.7926,-118.3043
210916801,2021-11-22,2020-11-19,1200,Van Nuys,Other,354,THEFT OF IDENTITY,46,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",14700    FRIAR                        ST,,34.1857,-118.4574
200100535,2020-01-14,2020-01-14,1330,Central,Robbery,210,ROBBERY,66,M,B,ALLEY,7TH,HILL,34.0463,-118.255
200914517,2020-09-10,2020-09-09,1735,Van Nuys,Other,354,THEFT OF IDENTITY,40,M,O,CONDOMINIUM/TOWNHOUSE,13600    LEADWELL                     ST,,34.2039,-118.4312
200100538,2020-01-14,2020-01-14,1730,Central,Other Theft,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",31,M,H,DEPARTMENT STORE,700 W  7TH                          ST,,34.048,-118.2577
200100543,2020-01-15,2020-01-15,1445,Central,Other Theft,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),27,M,B,DEPARTMENT STORE,700 W  7TH                          ST,,34.048,-118.2577
211014725,2021-11-18,2020-12-28,1,West Valley,Other,354,THEFT OF IDENTITY,46,F,W,SINGLE FAMILY DWELLING,5700    ENFIELD                      AV,,34.1748,-118.5228
200100546,2020-01-15,2020-01-15,700,Central,Aggravated Assault,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,M,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",600    SAN JULIAN                   ST,,34.0428,-118.2461
211015072,2021-11-29,2020-11-01,1200,West Valley,Other,354,THEFT OF IDENTITY,34,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",18600    COLLINS                      ST,,34.1745,-118.5383
201106067,2020-02-15,2020-02-15,1830,Northeast,Burglary/Theft from Vehicle,330,BURGLARY FROM VEHICLE,43,M,A,PARKING LOT,2700 N  VERMONT                      AV,,34.1179,-118.293
200100552,2020-01-19,2020-01-19,2000,Central,Aggravated Assault,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",71,M,W,PUBLIC RESTROOM/OUTSIDE*,ALAMEDA,LOS ANGELES,34.0578,-118.2371
200815333,2020-10-15,2020-10-15,2000,West LA,Simple Assault,624,BATTERY - SIMPLE ASSAULT,50,F,W,SINGLE FAMILY DWELLING,100 S  ACARI                        DR,,34.0701,-118.4679
200100556,2020-01-20,2020-01-20,400,Central,Rape,121,"RAPE, FORCIBLE",19,F,B,HOTEL,300 S  FIGUEROA                     ST,,34.0542,-118.2566
200100559,2020-01-23,2020-01-23,600,Central,Burglary,310,BURGLARY,51,M,W,HOTEL,700 N  MAIN                         ST,,34.0583,-118.2378
210816993,2021-11-24,2020-04-28,100,West LA,Other,354,THEFT OF IDENTITY,27,M,W,SINGLE FAMILY DWELLING,8500    CASHIO                       ST,,34.0507,-118.3762
201111990,2020-07-29,2020-07-29,2020,Northeast,Domestic Violence,626,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",3200 W  AVENUE 32,,34.1186,-118.245
200117988,2020-09-15,2020-09-03,2000,Central,Grand Theft Auto,510,VEHICLE - STOLEN,0,,,GARAGE/CARPORT,500 N  FIGUEROA                     ST,,34.0615,-118.247
200100568,2020-01-27,2020-01-27,1500,Central,Domestic Violence,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,69,M,B,MTA BUS,6TH,SAN JULIAN,34.0428,-118.2461
211015073,2021-11-29,2020-11-01,1200,West Valley,Other,354,THEFT OF IDENTITY,39,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",18600    COLLINS                      ST,,34.1745,-118.5383
200716724,2020-12-04,2020-12-03,811,Wilshire,Other Theft,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,M,O,OTHER BUSINESS,8400    BEVERLY                      BL,,34.0761,-118.3737
200914052,2020-08-27,2020-08-27,1255,Van Nuys,Simple Assault,624,BATTERY - SIMPLE ASSAULT,57,F,H,SIDEWALK,14100    SYLVAN                       ST,,34.1847,-118.44
200100572,2020-01-28,2020-01-28,2100,Central,Other,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,STREET,11TH                         ST,FIGUEROA                     ST,34.0431,-118.2692
200810920,2020-06-20,2020-06-20,1000,West LA,Simple Assault,624,BATTERY - SIMPLE ASSAULT,78,F,W,NURSING/CONVALESCENT/RETIREMENT HOME,12100    SANTA MONICA                 BL,,34.0423,-118.4656
200100574,2020-01-30,2020-01-29,1930,Central,Other Theft,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,W,DEPARTMENT STORE,700 W  7TH                          ST,,34.048,-118.2577
200100576,2020-01-30,2020-01-30,55,Central,Burglary/Theft from Vehicle,330,BURGLARY FROM VEHICLE,24,M,H,STREET,18TH                         ST,LOS ANGELES                  ST,34.0317,-118.2626
200100578,2020-01-31,2020-01-30,2040,Central,Aggravated Assault,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,M,H,MINI-MART,7TH                          ST,BROADWAY,34.0456,-118.254
200100583,2020-02-04,2020-02-04,920,Central,Aggravated Assault,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,F,H,OTHER BUSINESS,200    WINSTON                      ST,,34.0467,-118.247
200100584,2020-02-04,2020-02-04,1645,Central,Other Theft,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),55,M,W,DEPARTMENT STORE,700 S  FLOWER                       ST,,34.0487,-118.2588
221412410,2022-06-15,2020-11-12,1700,Pacific,Burglary/Theft from Vehicle,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,STREET,13600    MARINA POINT                 DR,,33.9876,-118.4489
200100587,2020-02-06,2020-02-06,1135,Central,Other,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",66,F,A,"VEHICLE, PASSENGER/TRUCK",8TH,SPRING,34.0431,-118.2536
200218458,2020-12-11,2020-12-11,420,Rampart,Domestic Violence,761,BRANDISH WEAPON,34,M,W,PARKING LOT,2500    BEVERLY                      BL,,34.0708,-118.2798
201225288,2020-11-26,2020-11-26,115,77th Street,Domestic Violence,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,50,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500 W  77TH                         ST,,33.9698,-118.2833
200100596,2020-02-08,2020-02-08,1600,Central,Other Theft,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,B,OTHER STORE,700 W  7TH                          ST,,34.048,-118.2577
200407318,2020-03-27,2020-03-27,315,Hollenbeck,Other,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",40,M,O,OTHER BUSINESS,2600 N  BROADWAY,,34.0736,-118.2156
200407198,2020-03-22,2020-03-22,430,Hollenbeck,Domestic Violence,626,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,H,SINGLE FAMILY DWELLING,300 N  EVERGREEN                    AV,,34.0436,-118.2051
201112187,2020-08-04,2020-07-16,1900,Northeast,Other,662,"BUNCO, GRAND THEFT",51,F,W,SINGLE FAMILY DWELLING,2100    HYPERION                     AV,,34.099,-118.2738
210109294,2021-04-23,2020-12-01,1200,Central,Other,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0,M,O,POLICE FACILITY,200 E  6TH                          ST,,34.0448,-118.2474
200104020,2020-01-01,2020-01-01,245,Central,Personal Theft,350,"THEFT, PERSON",44,M,B,SIDEWALK,6TH                          ST,SPRING                       ST,34.0463,-118.2515
200104024,2020-01-01,2020-01-01,325,Central,Other,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,M,A,"VEHICLE, PASSENGER/TRUCK",4TH                          ST,HILL                         ST,34.0503,-118.2504
