CATEGORY,DESCRIPTION
ASSAULT,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
ASSAULT,BATTERY - SIMPLE ASSAULT
ASSAULT,BATTERY ON A FIREFIGHTER
ASSAULT,BATTERY POLICE (SIMPLE)
ASSAULT,BATTERY WITH SEXUAL CONTACT
ASSAULT,INTIMATE PARTNER - AGGRAVATED ASSAULT
ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
ASSAULT,OTHER ASSAULT
BURGLARY,BURGLARY
BURGLARY,BURGLARY FROM VEHICLE
BURGLARY,"BURGLARY FROM VEHICLE, ATTEMPTED"
BURGLARY,"BURGLARY, ATTEMPTED"
CHILD ABUSE,CHILD ABANDONMENT
CHILD ABUSE,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
CHILD ABUSE,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
CHILD ABUSE,CHILD ANNOYING (17YRS & UNDER)
CHILD ABUSE,CHILD NEGLECT (SEE 300 W.I.C.)
CHILD ABUSE,CHILD PORNOGRAPHY
CHILD ABUSE,CHILD STEALING
CHILD ABUSE,LEWD/LASCIVIOUS ACTS WITH CHILD
DRUGS,"DRUGS, TO A MINOR"
FIREARMS,DISCHARGE FIREARMS/SHOTS FIRED
FIREARMS,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
FIREARMS,FIREARMS RESTRAINING ORDER (FIREARMS RO)
FIREARMS,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
FIREARMS,SHOTS FIRED AT INHABITED DWELLING
FIREARMS,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
OTHER,ARSON
OTHER,BIGAMY
OTHER,BLOCKING DOOR INDUCTION CENTER
OTHER,BOMB SCARE
OTHER,BRANDISH WEAPON
OTHER,BRIBERY
OTHER,CONSPIRACY
OTHER,CONTEMPT OF COURT
OTHER,CONTRIBUTING
OTHER,COUNTERFEIT
OTHER,CRIMINAL HOMICIDE
OTHER,CRIMINAL THREATS - NO WEAPON DISPLAYED
OTHER,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
OTHER,CRUELTY TO ANIMALS
OTHER,DISRUPT SCHOOL
OTHER,DISTURBING THE PEACE
OTHER,DOCUMENT WORTHLESS ($200 & UNDER)
OTHER,DOCUMENT WORTHLESS ($200.01 & OVER)
OTHER,DRUNK ROLL
OTHER,EXTORTION
OTHER,FAILURE TO DISPERSE
OTHER,FALSE IMPRISONMENT
OTHER,FALSE POLICE REPORT
OTHER,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
OTHER,ILLEGAL DUMPING
OTHER,INCITING A RIOT
OTHER,INDECENT EXPOSURE
OTHER,KIDNAPPING
OTHER,KIDNAPPING - GRAND ATTEMPT
OTHER,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
OTHER,LEWD CONDUCT
OTHER,LYNCHING
OTHER,LYNCHING - ATTEMPTED
OTHER,"MANSLAUGHTER, NEGLIGENT"
OTHER,ORAL COPULATION
OTHER,OTHER MISCELLANEOUS CRIME
OTHER,PANDERING
OTHER,PEEPING TOM
OTHER,PIMPING
