id,division_number,date_reported,date_occured,time_occured,area_name,crime_category,crime_description,victim_age,victim_sex,victim_descent_name,premis_desc
1,190101087,2/01/2020,1/01/2020,510,Central,Domestic Violence,INTIMATE PARTNER - SIMPLE ASSAULT,53,Female,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
2,200100507,4/01/2020,4/01/2020,200,Central,Other Theft,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,Male,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
404158,210804296,8/01/2020,4/01/2020,1025,West LA,Other,EXTORTION,49,Male,Other,SINGLE FAMILY DWELLING
0,10304468,8/01/2020,8/01/2020,2230,Southwest,Simple Assault,BATTERY - SIMPLE ASSAULT,36,Female,Black,SINGLE FAMILY DWELLING
3,200100528,11/01/2020,10/01/2020,2015,Central,Aggravated Assault,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,Male,Black,UNDERPASS/BRIDGE*
402469,210616226,21/09/2021,17/01/2020,1245,Hollywood,Other,OTHER MISCELLANEOUS CRIME,27,Female,Other,POLICE FACILITY
124901,200207108,1/03/2020,29/02/2020,1500,Rampart,Other,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26,Male,Hispanic/Latin/Mexican,STREET
124902,200207114,1/03/2020,1/03/2020,5,Rampart,Other,VIOLATION OF COURT ORDER,22,Female,Hispanic/Latin/Mexican,PARKING LOT
124903,200207116,1/03/2020,1/03/2020,1330,Rampart,Aggravated Assault,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39,Male,Hispanic/Latin/Mexican,SIDEWALK
124904,200207117,1/03/2020,1/03/2020,1430,Rampart,Robbery,ROBBERY,22,Female,Hispanic/Latin/Mexican,PARKING LOT
124905,200207127,1/03/2020,1/03/2020,2215,Rampart,Robbery,ROBBERY,22,Female,Hispanic/Latin/Mexican,STREET
124907,200207129,1/03/2020,1/03/2020,1900,Rampart,Domestic Violence,INTIMATE PARTNER - SIMPLE ASSAULT,21,Female,Hispanic/Latin/Mexican,SIDEWALK
124908,200207130,1/03/2020,1/03/2020,2145,Rampart,Aggravated Assault,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,Male,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
402431,210615487,6/09/2021,1/03/2020,1340,Hollywood,Other,THEFT OF IDENTITY,44,Male,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
403370,210709621,8/06/2021,1/03/2020,1930,Wilshire,Other,THEFT OF IDENTITY,23,Male,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
124906,200207128,2/03/2020,2/03/2020,100,Rampart,Domestic Violence,INTIMATE PARTNER - SIMPLE ASSAULT,29,Male,Hispanic/Latin/Mexican,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
124909,200207138,2/03/2020,2/03/2020,935,Rampart,Robbery,ROBBERY,44,Male,Hispanic/Latin/Mexican,SIDEWALK
401133,210318161,31/10/2021,15/03/2020,1,Southwest,Other,THEFT OF IDENTITY,59,Male,Other,SINGLE FAMILY DWELLING
402851,210704222,7/01/2021,15/03/2020,1930,Wilshire,Other,BATTERY WITH SEXUAL CONTACT,30,Female,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
404200,210804730,20/01/2021,18/03/2020,1125,West LA,Other Theft,THEFT PLAIN - PETTY ($950 & UNDER),38,Female,Other,OTHER/OUTSIDE
401574,210509689,29/05/2021,19/03/2020,1500,Harbor,Burglary/Theft from Vehicle,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),55,Male,Other,PARKING LOT
401120,210317843,1/10/2021,1/04/2020,2030,Southwest,Other,THEFT OF IDENTITY,24,Female,Other,SINGLE FAMILY DWELLING
401931,210605439,4/02/2021,1/04/2020,900,Hollywood,Other,THEFT OF IDENTITY,64,Male,Other,SINGLE FAMILY DWELLING
402015,210607039,14/03/2021,8/04/2020,1000,Hollywood,Other,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",22,Male,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
402620,210618965,12/11/2021,14/04/2020,945,Hollywood,Other,OTHER MISCELLANEOUS CRIME,36,Male,Other,SINGLE FAMILY DWELLING
403249,210708186,28/04/2021,15/04/2020,700,Wilshire,Other,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",24,Female,Other,SINGLE FAMILY DWELLING
401495,210507562,3/04/2021,16/04/2020,1300,Harbor,Burglary,BURGLARY,67,Female,Other,SINGLE FAMILY DWELLING
402115,210609280,3/05/2021,21/04/2020,1145,Hollywood,Other,THEFT OF IDENTITY,27,Female,Other,SINGLE FAMILY DWELLING
404048,210716708,13/12/2021,1/05/2020,800,Wilshire,Other,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",38,Male,Other,OTHER BUSINESS
401455,210506763,10/03/2021,5/05/2020,1800,Harbor,Burglary/Theft from Vehicle,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),41,Female,Other,STREET
404999,210814045,15/09/2021,10/05/2020,1000,West LA,Rape,SEXUAL PENETRATION W/FOREIGN OBJECT,34,Female,Other,SYNAGOGUE/TEMPLE
401434,210505609,9/02/2021,11/05/2020,1800,Harbor,Other Theft,THEFT PLAIN - PETTY ($950 & UNDER),0,Male,Other,OFFICE BUILDING/OFFICE
404219,210805004,3/01/2021,18/05/2020,1340,West LA,Other,THEFT OF IDENTITY,41,Female,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
401005,210314351,13/08/2021,20/05/2020,1200,Southwest,Other Theft,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",20,Male,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
402543,210617756,19/10/2021,1/06/2020,1330,Hollywood,Other Theft,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",40,Female,Other,JUNIOR HIGH SCHOOL
404231,210805158,28/01/2021,1/06/2020,1200,West LA,Other,UNAUTHORIZED COMPUTER ACCESS,38,Male,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
404289,210806071,21/02/2021,1/06/2020,800,West LA,Domestic Violence,CRIMINAL THREATS - NO WEAPON DISPLAYED,65,Female,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
402973,210705387,4/02/2021,8/06/2020,1,Wilshire,Other,THEFT OF IDENTITY,0,Male,Other,OTHER BUSINESS
400910,210310703,21/05/2021,19/06/2020,1540,Southwest,Other,THEFT OF IDENTITY,49,Female,Other,SINGLE FAMILY DWELLING
404248,210805377,26/01/2021,20/06/2020,1200,West LA,Other Theft,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",91,Female,Other,OTHER BUSINESS
403749,210713501,21/09/2021,21/06/2020,1130,Wilshire,Other Theft,THEFT PLAIN - PETTY ($950 & UNDER),0,Male,Other,OTHER PREMISE
403653,210712654,1/09/2021,24/06/2020,1700,Wilshire,Other,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0,Male,Other,OTHER BUSINESS
404974,210813848,9/09/2021,1/07/2020,5,West LA,Other Theft,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",68,Female,Other,RESTAURANT/FAST FOOD
404768,210811545,12/07/2021,16/07/2020,1200,West LA,Other,THEFT OF IDENTITY,31,Male,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
404194,210804673,19/01/2021,23/07/2020,1,West LA,Other,THEFT OF IDENTITY,32,Male,Other,BANK
404278,210805856,16/02/2021,28/07/2020,1200,West LA,Burglary,BURGLARY,27,Female,Other,PUBLIC STORAGE
404898,210813094,22/08/2021,28/07/2020,1700,West LA,Burglary,BURGLARY,39,Male,Other,PUBLIC STORAGE
401339,210414103,21/10/2021,1/08/2020,2010,Hollenbeck,Other,THEFT OF IDENTITY,49,Male,Other,OTHER/OUTSIDE
403179,210707361,2/04/2021,9/08/2020,1130,Wilshire,Domestic Violence,BRANDISH WEAPON,35,Female,Other,SINGLE FAMILY DWELLING
403020,210705787,16/02/2021,11/08/2020,700,Wilshire,Other,"BUNCO, GRAND THEFT",29,Male,Other,SINGLE FAMILY DWELLING
404167,210804392,13/01/2021,12/08/2020,800,West LA,Other Theft,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",27,Female,Other,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
